"timestamp","temperature"
2015-01-01 01:00:00,36.2
2015-01-01 01:51:55,36.2
2015-01-01 02:43:50,36.2
2015-01-01 03:35:45,36.2
2015-01-01 04:27:40,36.3
2015-01-01 05:19:35,36.3
2015-01-01 06:11:30,36.3
2015-01-01 07:03:25,36.3
2015-01-01 07:55:20,36.3
2015-01-01 08:47:15,36.4
2015-01-01 09:39:10,36.4
2015-01-01 10:31:05,36.4
2015-01-01 11:23:00,36.4
2015-01-01 12:14:55,36.4
2015-01-01 13:06:50,36.4
2015-01-01 13:58:45,36.3
2015-01-01 14:50:40,36.3
2015-01-01 15:42:35,36.3
2015-01-01 16:34:30,36.3
2015-01-01 17:26:25,36.3
2015-01-01 18:18:20,36.3
2015-01-01 19:10:16,36.3
2015-01-01 20:02:11,36.3
2015-01-01 20:54:06,36.3
2015-01-01 21:46:01,36.3
2015-01-01 22:37:56,36.2
2015-01-01 23:29:51,36.3
2015-01-02 00:21:46,36.3
2015-01-02 01:13:41,36.2
2015-01-02 02:05:36,36.3
2015-01-02 02:57:31,36.3
2015-01-02 03:49:26,36.3
2015-01-02 04:41:21,36.3
2015-01-02 05:33:16,36.3
2015-01-02 06:25:11,36.3
2015-01-02 07:17:06,36.3
2015-01-02 08:09:01,36.3
2015-01-02 09:00:56,36.3
2015-01-02 09:52:51,36.3
2015-01-02 10:44:46,36.3
2015-01-02 11:36:41,36.4
2015-01-02 12:28:36,36.4
2015-01-02 13:20:32,36.4
2015-01-02 14:12:27,36.4
2015-01-02 15:04:22,36.4
2015-01-02 15:56:17,36.4
2015-01-02 16:48:12,36.4
2015-01-02 17:40:07,36.4
2015-01-02 18:32:02,36.4
2015-01-02 19:23:57,36.4
2015-01-02 20:15:52,36.4
2015-01-02 21:07:47,36.4
2015-01-02 21:59:42,36.4
2015-01-02 22:51:37,36.4
2015-01-02 23:43:32,36.4
2015-01-03 00:35:27,36.4
2015-01-03 01:27:22,36.3
2015-01-03 02:19:17,36.4
2015-01-03 03:11:12,36.4
2015-01-03 04:03:07,36.4
2015-01-03 04:55:02,36.3
2015-01-03 05:46:57,36.3
2015-01-03 06:38:53,36.3
2015-01-03 07:30:48,36.3
2015-01-03 08:22:43,36.3
2015-01-03 09:14:38,36.3
2015-01-03 10:06:33,36.3
